uint32 GW_ID,int32 SOAFCount,int32 TIME
1101,33,1509031439
1101,33,1509031444
1101,33,1509031449
1101,33,1509031454
1101,35,1509031459
1101,73,1509031464
1101,74,1509031469
1101,76,1509031474
1101,91,1509031479
1101,104,1509031484
1101,114,1509031489
1101,114,1509031494
1101,114,1509031499
1101,133,1509031504
1101,179,1509031509
1101,210,1509031514
1101,237,1509031519
1101,249,1509031524
1101,249,1509031529
1101,249,1509031534
1101,249,1509031539
1101,249,1509031544
1101,249,1509031549
1101,249,1509031554
1101,249,1509031559
1101,249,1509031564
